fecha;resultadok;Lote;Talla
11/10/2022;56.59;2220PC-03417E;60-70
11/10/2022;50.18;2220PC-03417E;60-70
11/10/2022;50.18;2220PC-03418E;40-50
11/10/2022;52.32;2220PC-03418E;50-60
11/10/2022;50.18;2220PC-03418E;40-50
12/10/2022;51.25;2220PC-03419E;40-50
12/10/2022;50.18;2220PC-03419E;40-50
11/10/2022;53.38;2220PC-03419E;50-60
11/10/2022;99.29;2220PC-03419E;40-50
14/10/2022;50.18;2220PC-03931E;70-80
14/10/2022;69.4;2220PC-03931E;60-70
19/10/2022;69.4;2220PC-03932C;61-70
17/10/2022;50.18;2220PC-03933E;40-50
12/10/2022;99.29;2220PC-04101C;51-60
11/10/2022;99.29;2220PC-04101E;60-70
11/10/2022;50.18;2220PC-04101E;40-50
11/10/2022;53.38;2220PC-04101E;40-50
13/10/2022;69.4;2220PC-04102E;70-80
16/10/2022;52.32;2220PC-04103E;50-60
19/10/2022;50.18;2220PC-04104E;80-100
19/10/2022;50.18;2220PC-04104E;80-100
21/10/2022;50.18;2220PC-04105E;60-70
21/10/2022;53.38;2220PC-04105E;60-70
13/10/2022;50.18;2220PC-04261E;60-70
13/10/2022;53.38;2220PC-04262E;70-80
14/10/2022;53.38;2220PC-04263E;70-80
16/10/2022;51.25;2220PC-04264E;60-70
16/10/2022;53.38;2220PC-04264E;60-70
16/10/2022;54.45;2220PC-04264E;60-70
11/10/2022;8.54;2220PC-04461C;31-35
13/10/2022;9.61;2220PC-04462C;36-40
15/10/2022;9.61;2220PC-04463C;41-50
19/10/2022;9.61;2220PC-04464C;61-70
20/10/2022;50.18;2220PC-04465E;60-70
20/10/2022;53.38;2220PC-04465E;50-60
19/10/2022;64.06;2220PC-04465E;60-70
21/10/2022;9.61;2220PC-04466C;41-50
16/10/2022;50.18;2220PC-04761E;50-60
17/10/2022;74.74;2220PC-04762E;80-100
21/10/2022;99.29;2220PC-04763C;61-70
20/10/2022;50.18;2220PC-04763E;80-100
20/10/2022;99.29;2220PC-04763E;80-100
17/10/2022;50.18;2220PC-048411E;40-50
16/10/2022;99.29;2220PC-048411E;50-60
18/10/2022;64.06;2220PC-048412E;50-60
18/10/2022;50.18;2220PC-048412E;50-60
18/10/2022;96.09;2220PC-048412E;50-60
18/10/2022;53.38;2220PC-048412E;50-60
19/10/2022;50.18;2220PC-048413E;80-100
19/10/2022;50.18;2220PC-048413E;70-80
19/10/2022;52.32;2220PC-048413E;70-80
19/10/2022;53.38;2220PC-048413E;80-100
19/10/2022;50.18;2220PC-048413E;70-80
21/10/2022;85.41;2220PC-048416C;31-35
15/10/2022;80.08;2220PC-04842C;61-70
12/10/2022;50.18;2220PC-04842E;80-100
12/10/2022;53.38;2220PC-04842E;80-100
12/10/2022;53.38;2220PC-04842E;80-100
12/10/2022;50.18;2220PC-04843E;60-70
13/10/2022;50.18;2220PC-04843E;70-80
17/10/2022;58.72;2220PC-04844C;61-70
13/10/2022;51.25;2220PC-04844E;60-70
13/10/2022;54.45;2220PC-04844E;60-70
13/10/2022;53.38;2220PC-04845E;60-70
13/10/2022;50.18;2220PC-04845E;60-70
13/10/2022;50.18;2220PC-04846E;60-70
13/10/2022;50.18;2220PC-04847E;60-70
15/10/2022;69.4;2220PC-04848E;70-80
17/10/2022;53.38;2220PC-058111E;50-60
17/10/2022;50.18;2220PC-058111E;50-60
17/10/2022;50.18;2220PC-058111E;50-60
17/10/2022;50.18;2220PC-058111E;50-60
10/10/2022;99.29;2220PC-05811C;51-60
10/10/2022;64.06;2220PC-05811E;70-80
11/10/2022;64.06;2220PC-05812C;61-70
10/10/2022;85.41;2220PC-05812E;100-120
10/10/2022;51.25;2220PC-05813E;80-100
10/10/2022;50.18;2220PC-05813E;80-100
10/10/2022;85.41;2220PC-05814E;80-100
11/10/2022;53.38;2220PC-05815E;50-60
11/10/2022;51.25;2220PC-05815E;40-50
11/10/2022;50.18;2220PC-05815E;50-60
12/10/2022;50.18;2220PC-05816E;40-50
12/10/2022;50.18;2220PC-05816E;50-60
14/10/2022;51.25;2220PC-05817E;70-80
14/10/2022;50.18;2220PC-05817E;70-80
14/10/2022;56.59;2220PC-05818E;80-100
14/10/2022;53.38;2220PC-05818E;80-100
14/10/2022;52.32;2220PC-06011E;50-60
14/10/2022;50.18;2220PC-06011E;50-60
14/10/2022;51.25;2220PC-06011E;60-70
15/10/2022;50.18;2220PC-06011E;60-70
14/10/2022;59.79;2220PC-06011E;60-70
15/10/2022;50.18;2220PC-06012E;40-50
17/10/2022;64.06;2220PC-06053C;61-70
20/10/2022;50.18;2220PC-06055E;50-60
20/10/2022;52.32;2220PC-06055E;50-60
20/10/2022;50.18;2220PC-06055E;50-60
20/10/2022;52.32;2220PC-06055E;50-60
20/10/2022;50.18;2220PC-06055E;50-60
20/10/2022;50.18;2220PC-06055E;50-60
20/10/2022;51.25;2220PC-06055E;50-60
20/10/2022;50.18;2220PC-06055E;50-60
20/10/2022;50.18;2220PC-06056E;50-60
13/10/2022;50.18;2220PC-06311E;50-60
17/10/2022;99.29;2220PC-06312C;51-60
15/10/2022;72.6;2220PC-06312E;50-60
15/10/2022;74.74;2220PC-06312E;60-70
15/10/2022;50.18;2220PC-06312E;60-70
15/10/2022;99.29;2220PC-06312E;60-70
15/10/2022;53.38;2220PC-06312E;60-70
17/10/2022;99.29;2220PC-06313C;61-70
16/10/2022;53.38;2220PC-06313E;70-80
16/10/2022;56.59;2220PC-06313E;70-80
16/10/2022;52.32;2220PC-06313E;70-80
16/10/2022;50.18;2220PC-06313E;70-80
19/10/2022;99.29;2220PC-06314C;61-70
20/10/2022;53.38;2220PC-06315C;36-40
18/10/2022;50.18;2220PC-06315E;50-60
13/10/2022;50.18;2220PC-06351E;50-60
13/10/2022;50.18;2220PC-06351E;50-60
17/10/2022;51.25;2220PC-06353E;50-60
17/10/2022;50.18;2220PC-06353E;50-60
17/10/2022;99.29;2220PC-06354E;60-70
18/10/2022;53.38;2220PC-06355E;50-60
11/10/2022;8.54;2220PC-08161C;41-50
11/10/2022;69.4;2220PC-08371E;70-80
12/10/2022;85.41;2220PC-08371E;80-100
14/10/2022;66.2;2220PC-08372E;70-80
14/10/2022;50.18;2220PC-08373E;50-60
14/10/2022;53.38;2220PC-08373E;60-70
18/10/2022;50.18;2220PC-08374E;70-80
11/10/2022;50.18;2220PC-08401E;60-70
11/10/2022;50.18;2220PC-08401E;40-50
11/10/2022;50.18;2220PC-08401E;40-50
11/10/2022;50.18;2220PC-08402E;70-80
11/10/2022;53.38;2220PC-08402E;70-80
14/10/2022;99.29;2220PC-08404E;50-60
14/10/2022;50.18;2220PC-08404E;50-60
14/10/2022;50.18;2220PC-08405E;50-60
18/10/2022;50.18;2220PC-08406E;50-60
18/10/2022;50.18;2220PC-08406E;40-50
18/10/2022;50.18;2220PC-08406E;40-50
19/10/2022;50.18;2220PC-08407E;50-60
20/10/2022;72.6;2220PC-08407E;50-60
19/10/2022;50.18;2220PC-08407E;50-60
19/10/2022;53.38;2220PC-08407E;50-60
14/10/2022;69.4;2220PC-09011C;61-70
15/10/2022;50.18;2220PC-09012E;70-80
16/10/2022;50.18;2220PC-09012E;80-100
15/10/2022;99.29;2220PC-09012E;80-100
21/10/2022;53.38;2220PC-09013C;61-70
18/10/2022;8.54;2220PC-09021C;41-50
11/10/2022;58.72;2220PC-09051E;60-70
11/10/2022;51.25;2220PC-09051E;50-60
17/10/2022;59.79;2220PC-09052C;51-60
18/10/2022;59.79;2220PC-09053C;61-70
12/10/2022;9.61;2220PC-09091C;51-60
14/10/2022;50.18;2220PC-09092E;80-100
14/10/2022;50.18;2220PC-09092E;80-100
14/10/2022;58.72;2220PC-09092E;80-100
14/10/2022;58.72;2220PC-09591C;61-70
12/10/2022;74.74;2220PC-09591E;80-100
12/10/2022;74.74;2220PC-09592E;80-100
14/10/2022;50.18;2220PC-09593E;70-80
17/10/2022;74.74;2220PC-09594C;51-60
19/10/2022;74.74;2220PC-09595E;100-120
19/10/2022;66.2;2220PC-09595E;80-100
18/10/2022;53.38;2220PC-09595E;40-50
21/10/2022;50.18;2220PC-09596E;80-100
21/10/2022;53.38;2220PC-09596E;80-100
11/10/2022;50.18;2220PC-09911E;60-70
12/10/2022;85.41;2220PC-09914E;80-100
14/10/2022;61.92;2220PC-09915C;51-60
13/10/2022;50.18;2220PC-09916E;80-100
13/10/2022;53.38;2220PC-09916E;80-100
11/10/2022;106.77;2220PC-100010C;BR. SMALL
11/10/2022;149.47;2220PC-100011C;BR. SMALL
12/10/2022;90.75;2220PC-100022C;BR. SMALL
12/10/2022;99.29;2220PC-100022C;BR. SMALL
12/10/2022;128.12;2220PC-100023C;BR. SMALL
12/10/2022;53.38;2220PC-100023C;BR. SMALL
12/10/2022;101.43;2220PC-100023C;BR. SMALL
13/10/2022;64.06;2220PC-100024C;71-90
13/10/2022;117.44;2220PC-100025C;61-70
13/10/2022;106.77;2220PC-100026C;BR. SMALL
13/10/2022;132.39;2220PC-100029C;71-90
13/10/2022;142;2220PC-100030C;BR. SMALL
13/10/2022;80.08;2220PC-100031C;BR. SMALL
13/10/2022;85.41;2220PC-100032C;BR. SMALL
14/10/2022;69.4;2220PC-100034C;BR. SMALL
14/10/2022;149.47;2220PC-100036C;71-90
14/10/2022;61.92;2220PC-100037C;BR. SMALL
14/10/2022;196.45;2220PC-100037C;BR. SMALL
14/10/2022;122.78;2220PC-100038C;61-70
15/10/2022;149.47;2220PC-100041C;BR. SMALL
15/10/2022;179.37;2220PC-100042C;BR. SMALL
15/10/2022;124.92;2220PC-100043C;BR. SMALL
15/10/2022;58.72;2220PC-100044C;BR. SMALL
15/10/2022;167.62;2220PC-100045C;61-70
15/10/2022;132.39;2220PC-100046C;BR. SMALL
16/10/2022;99.29;2220PC-100047C;71-90
18/10/2022;99.29;2220PC-100062C;BR. SMALL
18/10/2022;96.09;2220PC-100063C;BR. SMALL
18/10/2022;96.09;2220PC-100063C;BR. SMALL
21/10/2022;64.06;2220PC-100081C;71-90
21/10/2022;85.41;2220PC-100081C;71-90
21/10/2022;149.47;2220PC-100082C;71-90
22/10/2022;192.18;2220PC-100086C;71-90
15/10/2022;85.41;2220PC-10661C;51-60
13/10/2022;41.64;2220PC-10661E;70-80
13/10/2022;53.38;2220PC-10661E;60-70
13/10/2022;64.06;2220PC-10661E;70-80
13/10/2022;53.38;2220PC-10662E;70-80
13/10/2022;74.74;2220PC-10662E;80-100
16/10/2022;53.38;2220PC-111710E;60-70
15/10/2022;50.18;2220PC-111710E;60-70
16/10/2022;80.08;2220PC-111711E;60-70
16/10/2022;50.18;2220PC-111711E;50-60
15/10/2022;53.38;2220PC-111711E;60-70
16/10/2022;58.72;2220PC-111713E;60-70
16/10/2022;60.86;2220PC-111713E;60-70
16/10/2022;53.38;2220PC-111713E;60-70
16/10/2022;50.18;2220PC-111713E;60-70
16/10/2022;83.28;2220PC-111715E;70-80
18/10/2022;50.18;2220PC-111716E;50-60
17/10/2022;50.18;2220PC-111716E;50-60
17/10/2022;53.38;2220PC-111716E;50-60
17/10/2022;50.18;2220PC-111716E;50-60
18/10/2022;50.18;2220PC-111717E;50-60
18/10/2022;50.18;2220PC-111717E;50-60
19/10/2022;50.18;2220PC-111717E;60-70
19/10/2022;50.18;2220PC-111718E;60-70
12/10/2022;57.65;2220PC-11171C;61-70
20/10/2022;50.18;2220PC-111720E;80-100
20/10/2022;68.33;2220PC-111721E;70-80
20/10/2022;53.38;2220PC-111721E;70-80
21/10/2022;90.75;2220PC-111722E;50-60
11/10/2022;96.09;2220PC-11173C;51-60
10/10/2022;96.09;2220PC-11173E;60-70
10/10/2022;74.74;2220PC-11173E;50-60
10/10/2022;64.06;2220PC-11173E;60-70
10/10/2022;50.18;2220PC-11173E;60-70
10/10/2022;82.21;2220PC-11173E;60-70
13/10/2022;99.29;2220PC-11174C;61-70
12/10/2022;50.18;2220PC-11174E;70-80
12/10/2022;50.18;2220PC-11174E;70-80
12/10/2022;50.18;2220PC-11174E;70-80
12/10/2022;50.18;2220PC-11174E;70-80
12/10/2022;53.38;2220PC-11174E;80-100
13/10/2022;53.38;2220PC-11175E;60-70
14/10/2022;99.29;2220PC-11176E;60-70
14/10/2022;66.2;2220PC-11177E;70-80
15/10/2022;50.18;2220PC-11178E;60-70
15/10/2022;50.18;2220PC-11179E;60-70
15/10/2022;50.18;2220PC-11179E;80-100
11/10/2022;77.94;2220PC-14241E;80-100
11/10/2022;52.32;2220PC-14241E;80-100
14/10/2022;50.18;2220PC-15091E;60-70
16/10/2022;64.06;2220PC-15092E;70-80
16/10/2022;66.2;2220PC-15092E;80-100
16/10/2022;80.08;2220PC-15092E;80-100
17/10/2022;74.74;2220PC-15092E;100-120
19/10/2022;50.18;2220PC-15093E;70-80
18/10/2022;64.06;2220PC-15093E;60-70
14/10/2022;68.33;2220PC-167010E;70-80
15/10/2022;50.18;2220PC-167010E;60-70
14/10/2022;54.45;2220PC-167010E;70-80
17/10/2022;90.75;2220PC-167011C;61-70
17/10/2022;58.72;2220PC-167011C;61-70
16/10/2022;74.74;2220PC-167013E;70-80
17/10/2022;50.18;2220PC-167014E;60-70
16/10/2022;64.06;2220PC-167014E;70-80
16/10/2022;53.38;2220PC-167014E;80-100
16/10/2022;53.38;2220PC-167014E;70-80
16/10/2022;50.18;2220PC-167014E;70-80
16/10/2022;59.79;2220PC-167014E;70-80
18/10/2022;53.38;2220PC-167015E;70-80
18/10/2022;96.09;2220PC-167015E;60-70
21/10/2022;87.55;2220PC-167016C;61-70
20/10/2022;50.18;2220PC-167016E;70-80
21/10/2022;69.4;2220PC-167016E;80-100
20/10/2022;96.09;2220PC-167016E;80-100
20/10/2022;53.38;2220PC-167016E;80-100
20/10/2022;53.38;2220PC-167016E;80-100
10/10/2022;50.18;2220PC-16701E;70-80
10/10/2022;52.32;2220PC-16701E;60-70
10/10/2022;50.18;2220PC-16701E;60-70
10/10/2022;50.18;2220PC-16701E;60-70
10/10/2022;62.99;2220PC-16701E;60-70
10/10/2022;50.18;2220PC-16701E;60-70
